customer_code,source_index,source_id,age_class,gender_class,race_class,output,output_sha256
CUS-DEMO-014,13,val-14,20-29,Male,Indian,customer_images/CUS-DEMO-014.jpg,c3c144aafcc18cc3e90f6c0071930779a5f9f7c89a79e8b89d92faf65b468a66
CUS-DEMO-015,14,val-15,30-39,Female,Latino_Hispanic,customer_images/CUS-DEMO-015.jpg,5b61017897eeb9b088804afd77a27ff02a9bf570aaf5b0a6dd93d3552434243b
CUS-DEMO-016,15,val-16,50-59,Male,Middle Eastern,customer_images/CUS-DEMO-016.jpg,d39d3e45ded406f0903f13fec54783fcac49a906531635f78e6791a331da4350
CUS-DEMO-017,16,val-17,30-39,Male,East Asian,customer_images/CUS-DEMO-017.jpg,2b81762f20fc817b04b276910ef2b421daef9a1e0f491dbbd170c6883c16817b
CUS-DEMO-018,17,val-18,20-29,Female,White,customer_images/CUS-DEMO-018.jpg,6b25ac02775ddd5ebb3f007a7c9de0a98ca67909c6c625f73df4cbe24c26356e
CUS-DEMO-019,18,val-19,40-49,Male,White,customer_images/CUS-DEMO-019.jpg,f43d9d2ee58657a55d10c89fdd6cb6cbf66a52989283c6c76e585fd7da160ea2
CUS-DEMO-020,19,val-20,40-49,Female,Middle Eastern,customer_images/CUS-DEMO-020.jpg,04071053e6497bee53478dfa9fb656a983b1950e85d6f282d62b904ef0769176
CUS-DEMO-021,20,val-21,20-29,Male,East Asian,customer_images/CUS-DEMO-021.jpg,c6f9d2b3c52be5bfeca09c99c5ba469dbb0cba09e7213213ca4e4dec60d72379
CUS-DEMO-022,21,val-22,40-49,Male,White,customer_images/CUS-DEMO-022.jpg,d2fcd831fe9017fc4e2a7c8b50a4739fe60faacdf79b5cf6ec7a65d9a32ac239
CUS-DEMO-023,22,val-23,30-39,Female,White,customer_images/CUS-DEMO-023.jpg,25badf470379567592708d50289a4aaba9c67b20116fd3d8cf75d444061c6cb9
CUS-DEMO-024,23,val-24,10-19,Female,East Asian,customer_images/CUS-DEMO-024.jpg,28c3ad1915f81a40bba61c2d65931e40a5e47841ed944dc3a2c80d0a6bf7edf7
CUS-DEMO-025,24,val-25,20-29,Female,Latino_Hispanic,customer_images/CUS-DEMO-025.jpg,b50e9f1103bec85cf0c3a2f8169def257bd6352cbc8bcd5fe5ad3fdeec3fbbc6
CUS-DEMO-026,25,val-26,30-39,Female,Latino_Hispanic,customer_images/CUS-DEMO-026.jpg,4d732b820731b4ae67b16e9550e2a40e55073284e21d6de74d6f7ee3dbf6d7f6
CUS-DEMO-027,26,val-27,20-29,Female,Latino_Hispanic,customer_images/CUS-DEMO-027.jpg,b6acf049faa46e734650dd1bf29865e8660b63eb369a817f8f22f6bfbeccb4d2
CUS-DEMO-028,27,val-28,20-29,Female,Southeast Asian,customer_images/CUS-DEMO-028.jpg,ab2338c00887bf578ad5eb02d8b6ac4f0cf5e9153e98136aabd73107aa703715
CUS-DEMO-029,28,val-29,3-9,Female,East Asian,customer_images/CUS-DEMO-029.jpg,f071f4b6185494892bd2e08debd14254a7c16145fda20378ca486e1570a48077
CUS-DEMO-030,29,val-30,30-39,Female,Latino_Hispanic,customer_images/CUS-DEMO-030.jpg,2543c9e0cd9ab69f23791bc9e2ea8e4bd6819d75d77c11995d399a75d1f3b7b1
CUS-DEMO-031,30,val-31,3-9,Female,Indian,customer_images/CUS-DEMO-031.jpg,eefb1dd370f3fd1f73de8032dd4e6ad8f195773ba6c916e6d69509203ddb343d
CUS-DEMO-032,31,val-32,40-49,Female,Indian,customer_images/CUS-DEMO-032.jpg,a0bd2b35fb23063a82730e262640fd868d21be6c7e3b8e7402aa8254149d17b6
CUS-DEMO-033,32,val-33,20-29,Male,Southeast Asian,customer_images/CUS-DEMO-033.jpg,bf7cffe05cbd07e392fb8fa89cb46fdce7502697703aeaf863f65319291a1fcd
CUS-DEMO-034,33,val-34,3-9,Male,East Asian,customer_images/CUS-DEMO-034.jpg,f25db5d24e88fcc34f2bae2ed0148b0d8218f4e381b4480b1d06fd09e623123a
CUS-DEMO-035,34,val-35,60-69,Male,Black,customer_images/CUS-DEMO-035.jpg,3054132ed501cd441dc96e8a2957e86ef02fd0f82c41d115fba5101433bdfc21
CUS-DEMO-036,35,val-36,50-59,Female,Black,customer_images/CUS-DEMO-036.jpg,226c0fa5504e030902779b0427d4f0d037f3d442251f96a09631cee6e5522210
CUS-DEMO-037,36,val-37,40-49,Male,Black,customer_images/CUS-DEMO-037.jpg,3fc1defcaa5ff253236c05bcde1b8aa830636391d101c6cca178067d8a149f8f
CUS-DEMO-038,37,val-38,40-49,Male,Middle Eastern,customer_images/CUS-DEMO-038.jpg,0f95c36c80c2c047779625ebeed325846059e3c771b1d7a96d32b46cc610d20d
CUS-DEMO-039,38,val-39,60-69,Male,Middle Eastern,customer_images/CUS-DEMO-039.jpg,7968f4d9e8649e0dc9ada87432ee1c473f75328acb98b46243e4a55555555cb5
CUS-DEMO-040,39,val-40,50-59,Female,Indian,customer_images/CUS-DEMO-040.jpg,c9aa0e002a20d3bef91e5de2d0662938754c5933fd09557441ba46b84fa1099b
CUS-DEMO-041,40,val-41,3-9,Male,East Asian,customer_images/CUS-DEMO-041.jpg,066b163beab06551e8e8d342033ffeff107ae471f1a672b704bd5b4ac0c42ae9
CUS-DEMO-042,41,val-42,20-29,Female,Indian,customer_images/CUS-DEMO-042.jpg,2d1891996e964f31b57d6098cce88a4096eca23d19a3ba541d74fc7a24234121
CUS-DEMO-043,42,val-43,20-29,Female,Latino_Hispanic,customer_images/CUS-DEMO-043.jpg,2534655a920818ecf94b60b086af1da8fc3fe93b50bf166f65010aa582ec3f4f
CUS-DEMO-044,43,val-44,30-39,Female,Latino_Hispanic,customer_images/CUS-DEMO-044.jpg,bbfeb11bd2abad2910123fc2440f297d2ddeb2dedcd75562aafda00bcdaa03a6
CUS-DEMO-045,44,val-45,0-2,Male,White,customer_images/CUS-DEMO-045.jpg,e9ca5783800b912b1ecb35989526b737f26d06a0852d21165650dc02277cea5c
CUS-DEMO-046,45,val-46,20-29,Male,East Asian,customer_images/CUS-DEMO-046.jpg,a87b1a5bbe38ecb89837f6551fc3e0c739c40528492dc3201393d3f885d256eb
CUS-DEMO-047,46,val-47,40-49,Male,White,customer_images/CUS-DEMO-047.jpg,a287846d84cca88259c993fdcf70230fdb97703e14cf0272c651404767bde19d
CUS-DEMO-048,47,val-48,20-29,Female,White,customer_images/CUS-DEMO-048.jpg,fa81f3b4e1d8ed299c47d6df5c4aa0724c7da4b6e9b63f37d4d4d12e3a1fa7f4
CUS-DEMO-049,48,val-49,40-49,Male,White,customer_images/CUS-DEMO-049.jpg,6b16a1a6dff1d6e1760813cc0f56f65064eac032214ea8e8709c5cdb0f6d8336
CUS-DEMO-050,49,val-50,20-29,Female,White,customer_images/CUS-DEMO-050.jpg,8db40b6c007f632f89b6e8dc8c00e063795b6cf4233ac2d036df8628f21db91a
CUS-DEMO-051,50,val-51,30-39,Male,Middle Eastern,customer_images/CUS-DEMO-051.jpg,fe0824e58430dab40ea41cbc4423573c68331a2d91491094f6dcf0a11d927486
CUS-DEMO-052,51,val-52,3-9,Male,Middle Eastern,customer_images/CUS-DEMO-052.jpg,45bff046da24de56e31bf3dac02b4d5c9ead3c95a08aab752c0d8b1bd397bd75
CUS-DEMO-053,52,val-53,50-59,Male,Latino_Hispanic,customer_images/CUS-DEMO-053.jpg,c08e4818dcaeee3e950d62fabc174b4bbb2b1259f6e84c9e2e63f2ea784e8049
CUS-DEMO-054,53,val-54,20-29,Male,East Asian,customer_images/CUS-DEMO-054.jpg,ebf5864611c8f0d80ac3ad210629e7278b0160f5f2c65419a4f83c945b9fa866
CUS-DEMO-055,54,val-55,40-49,Male,Latino_Hispanic,customer_images/CUS-DEMO-055.jpg,f96a6cfa1f81a7e69af2aa99a91339908802c97b692dce254522882ac5c14a12
CUS-DEMO-056,55,val-56,40-49,Male,White,customer_images/CUS-DEMO-056.jpg,0b49028137dfd731f56e3ac146509d612415e33cf2939d0a9bae356d03efe5e7
CUS-DEMO-057,56,val-57,40-49,Female,East Asian,customer_images/CUS-DEMO-057.jpg,26facaaf86e81c7feb2c3f9e5ed074cd129d71eeb7383925168f2e242a30e67a
CUS-DEMO-058,57,val-58,3-9,Male,Black,customer_images/CUS-DEMO-058.jpg,82ee2f5a894e6951e02042c9d90e9ac5f1cd8308670863efdc2b6b24b04d3552
CUS-DEMO-059,58,val-59,30-39,Female,White,customer_images/CUS-DEMO-059.jpg,41a835cadf630dd98fa45256e9f7978c94ef346d642da17d9c5682f75f870813
CUS-DEMO-060,59,val-60,10-19,Female,Southeast Asian,customer_images/CUS-DEMO-060.jpg,9f6b2294fdf368367d497fc9cec31cd5161b9196931368e20a766ec314229931
CUS-DEMO-061,60,val-61,60-69,Male,Black,customer_images/CUS-DEMO-061.jpg,9fcac6e3856153325ddda22a0d38ec07cf2f94ed607b2b2736f2b3adc20894e9
CUS-DEMO-062,61,val-62,3-9,Male,Southeast Asian,customer_images/CUS-DEMO-062.jpg,97be3a63959b30d195abb292deb88cbb5361b7a2ab47690252affce1a8202ad2
CUS-DEMO-063,62,val-63,3-9,Female,White,customer_images/CUS-DEMO-063.jpg,3259169872ed08a7d29715a119a5e2aacb0eb25b88cd309d70fec28f689477cf
CUS-DEMO-064,63,val-64,10-19,Male,East Asian,customer_images/CUS-DEMO-064.jpg,f555a269c3da6e84cf18ae92978fadbf2bca6d9d20f91bce4a4af055271eb441
CUS-DEMO-065,64,val-65,40-49,Male,Latino_Hispanic,customer_images/CUS-DEMO-065.jpg,807f43050aa8dcadde564ef675cf847813ece5fc5540a9a59797813c019f12ac
CUS-DEMO-066,65,val-66,30-39,Female,Latino_Hispanic,customer_images/CUS-DEMO-066.jpg,1dde5e707ae4361061876eee8e39261ce9147574674652281e897268999f2525
CUS-DEMO-067,66,val-67,40-49,Female,White,customer_images/CUS-DEMO-067.jpg,e6c1aa3d52034d57c8b57500a80a4fc1e5a3772d7369656e68e1a877c7a42dd7
CUS-DEMO-068,67,val-68,3-9,Female,White,customer_images/CUS-DEMO-068.jpg,7fc9799c08a4bb407a7e86be438ca83aef1847ccab232f12d44d5c71a5e497d4
CUS-DEMO-069,68,val-69,30-39,Male,Latino_Hispanic,customer_images/CUS-DEMO-069.jpg,7438fc295622218b6e3235e82c714cc9c1289e6b3d52a5105519a7718cdc42a0
CUS-DEMO-070,69,val-70,20-29,Male,Indian,customer_images/CUS-DEMO-070.jpg,650c93447ce1cc6aeeb26cc1a97c19c177d3fdcdf8d2b55e6ec6285bae2d4b8f
CUS-DEMO-071,70,val-71,more than 70,Male,Middle Eastern,customer_images/CUS-DEMO-071.jpg,c9c1720e57b1057603b37fb3537fb2d36fa176bfb60f4d5c694882463c845eb1
CUS-DEMO-072,71,val-72,30-39,Male,White,customer_images/CUS-DEMO-072.jpg,7d0cfe842f5cedf3d3dad4102c6cd3a615c1c64368f6db023d9304ed9d67054c
CUS-DEMO-073,72,val-73,20-29,Female,Latino_Hispanic,customer_images/CUS-DEMO-073.jpg,a7ddfe6bb230c28ae90fd0c334cd0337aa98a373222a75e2504a94a45673e686
CUS-DEMO-074,73,val-74,30-39,Female,Indian,customer_images/CUS-DEMO-074.jpg,a7359c4fde2a90a96e273ec7dcc7849d1daebcc4203b3b210668656ce6b3c776
CUS-DEMO-075,74,val-75,50-59,Male,Middle Eastern,customer_images/CUS-DEMO-075.jpg,903275e31bafb1daa9205040d06ed858dd902840a6403fe31520a0dac37eff84
CUS-DEMO-076,75,val-76,20-29,Male,Indian,customer_images/CUS-DEMO-076.jpg,f5a3c41b393f477257cecd50f63209ba53a52a5fba39ea231da1de214f0261fe
CUS-DEMO-077,76,val-77,40-49,Female,Latino_Hispanic,customer_images/CUS-DEMO-077.jpg,d63d1336ecf1736b51287da0b7ab43b8294bf7b7d3ea7e161f615de1066b896f
CUS-DEMO-078,77,val-78,30-39,Male,Black,customer_images/CUS-DEMO-078.jpg,687b329546260610f21b737357f8ee12bec40f5cda5d2402ba54b0dd9ba4de01
CUS-DEMO-079,78,val-79,3-9,Female,Middle Eastern,customer_images/CUS-DEMO-079.jpg,69251755e0f941f65a64b40cec58982a26be986cc737e89821b5c7ef9f00a34f
CUS-DEMO-080,79,val-80,30-39,Female,Black,customer_images/CUS-DEMO-080.jpg,d2258ce5fdcd11b2ffd5526f5262dbc5e905f2c4a04d533e2095f89f22b35057
CUS-DEMO-081,80,val-81,30-39,Male,Black,customer_images/CUS-DEMO-081.jpg,18619eaad6dd2543b22d319c6a259b38f7f1f7c8b4913ab86dc478db92e98f7b
CUS-DEMO-082,81,val-82,10-19,Male,East Asian,customer_images/CUS-DEMO-082.jpg,9790129d2d12ea1e1a06c49c3a8b5911ef052d2b5af53e14b2878188e681b4a4
CUS-DEMO-083,82,val-83,30-39,Female,White,customer_images/CUS-DEMO-083.jpg,1795069278be3c3b83fcf629e7db4cb62e473f1c60ff226437ec923819c7c6d9
CUS-DEMO-084,83,val-84,40-49,Male,East Asian,customer_images/CUS-DEMO-084.jpg,d6d6287f9de7c65799269c007a040f7b64b3da788234dcdc5d67dc5d8a4cb08b
CUS-DEMO-085,84,val-85,3-9,Female,White,customer_images/CUS-DEMO-085.jpg,7494968053dbaa160d1d5e78a64f707740b55092036cb5ac5ed58a8639125590
CUS-DEMO-086,85,val-86,10-19,Male,Black,customer_images/CUS-DEMO-086.jpg,b6cfd3c0347c53db07486077c8fa4f8e70fba33c07061e6fbd8dba5ea64bd9ab
CUS-DEMO-087,86,val-87,30-39,Male,White,customer_images/CUS-DEMO-087.jpg,0aac2e42a0e09fca441ab3e6a7d881c72c9a327c40fe9d91a198ccaaae907f75
CUS-DEMO-088,87,val-88,20-29,Male,Southeast Asian,customer_images/CUS-DEMO-088.jpg,a6feee68d74273f1414c4e190317558f78f7231da55eec2cfc1b86c9884a6c62
CUS-DEMO-089,88,val-89,30-39,Male,East Asian,customer_images/CUS-DEMO-089.jpg,06f003435c4ec468e84d957b30fee24ffd79b1c524d16a3167e031acebf3d937
CUS-DEMO-090,89,val-90,50-59,Male,Middle Eastern,customer_images/CUS-DEMO-090.jpg,1e7bb6f7b3b11b09f9df0e50fb1b24c5de4bcdfa317dee8c511c1e03bb160367
CUS-DEMO-091,90,val-91,10-19,Female,Indian,customer_images/CUS-DEMO-091.jpg,97ed546b0d9310994cf2284be58bd4d3b822ef7f0baccbc6a02464736df660c1
CUS-DEMO-092,91,val-92,10-19,Male,White,customer_images/CUS-DEMO-092.jpg,0c60d598506eb5fcb6a09c5c6848e4df769b640098b6c3bea93220fbad128d64
CUS-DEMO-093,92,val-93,20-29,Female,Indian,customer_images/CUS-DEMO-093.jpg,3202be737d996347a024ef2912d53f7958289ddbf897126bc6dd7331e75f5281
CUS-DEMO-094,93,val-94,50-59,Female,Latino_Hispanic,customer_images/CUS-DEMO-094.jpg,e60f9e206015d7df817ff6887b4e0eb5ae102be1d6c93c0d884372d068ed056d
CUS-DEMO-095,94,val-95,50-59,Female,East Asian,customer_images/CUS-DEMO-095.jpg,9ffd07374e9028c29f362df731cd7137912ba109f480d493f4eabd4cacfc91e0
CUS-DEMO-096,95,val-96,30-39,Male,White,customer_images/CUS-DEMO-096.jpg,3195949d5e9ac99659885359115fb3adb386dc4a7cd4e7d444746089a44f95c8
CUS-DEMO-097,96,val-97,50-59,Female,Indian,customer_images/CUS-DEMO-097.jpg,9c53303c2b9900016da561b725ff54f56969fb7df069f45eec5ed63aa2f0f1ca
CUS-DEMO-098,97,val-98,20-29,Male,East Asian,customer_images/CUS-DEMO-098.jpg,6dceae62277c9f56eb10b70617c06b4798fa34eace60e4a2b03ef4e873f68d3e
CUS-DEMO-099,98,val-99,20-29,Male,East Asian,customer_images/CUS-DEMO-099.jpg,4dab9ff0f038aa34a366fdc5e80309e44f00bfa84de4fda05f4b9d65655788f7
CUS-DEMO-100,99,val-100,20-29,Female,East Asian,customer_images/CUS-DEMO-100.jpg,e1b61aea773b3c6aeefc9f8a9e65f3554e5093cc874b60900f72bf9301af0c8a
